"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 11:08:22 GMT 2025","Tue Sep 23 11:08:23 GMT 2025","1285","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 11:08:22 GMT 2025","Tue Sep 23 11:08:23 GMT 2025","1468","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 11:08:20 GMT 2025","Tue Sep 23 11:08:22 GMT 2025","1740","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 11:08:25 GMT 2025","Tue Sep 23 11:08:27 GMT 2025","1492","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 23 11:08:18 GMT 2025","Tue Sep 23 11:08:21 GMT 2025","3597","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 11:08:27 GMT 2025","Tue Sep 23 11:08:30 GMT 2025","3279","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Sep 23 11:08:18 GMT 2025","Tue Sep 23 11:08:20 GMT 2025","2082","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 11:08:30 GMT 2025","Tue Sep 23 11:08:32 GMT 2025","1604","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 23 11:08:27 GMT 2025","Tue Sep 23 11:08:30 GMT 2025","2940","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 11:08:23 GMT 2025","Tue Sep 23 11:08:25 GMT 2025","1639","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
