"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 06:36:21 GMT 2025","Tue Sep 23 06:36:23 GMT 2025","1534","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 23 06:36:13 GMT 2025","Tue Sep 23 06:36:15 GMT 2025","1203","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 06:36:18 GMT 2025","Tue Sep 23 06:36:21 GMT 2025","3210","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Sep 23 06:36:09 GMT 2025","Tue Sep 23 06:36:11 GMT 2025","1831","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 06:36:12 GMT 2025","Tue Sep 23 06:36:13 GMT 2025","1613","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 06:36:09 GMT 2025","Tue Sep 23 06:36:12 GMT 2025","3315","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 06:36:17 GMT 2025","Tue Sep 23 06:36:20 GMT 2025","2883","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 06:36:16 GMT 2025","Tue Sep 23 06:36:18 GMT 2025","1324","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 23 06:36:14 GMT 2025","Tue Sep 23 06:36:16 GMT 2025","1561","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 23 06:36:13 GMT 2025","Tue Sep 23 06:36:14 GMT 2025","1409","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
