"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 06:02:22 GMT 2025","Wed Sep 10 06:02:25 GMT 2025","3273","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Sep 10 06:02:13 GMT 2025","Wed Sep 10 06:02:16 GMT 2025","3064","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Sep 10 06:02:13 GMT 2025","Wed Sep 10 06:02:15 GMT 2025","1773","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 06:02:16 GMT 2025","Wed Sep 10 06:02:18 GMT 2025","1459","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 06:02:15 GMT 2025","Wed Sep 10 06:02:17 GMT 2025","1631","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 06:02:17 GMT 2025","Wed Sep 10 06:02:18 GMT 2025","1212","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Sep 10 06:02:18 GMT 2025","Wed Sep 10 06:02:20 GMT 2025","1565","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Sep 10 06:02:25 GMT 2025","Wed Sep 10 06:02:26 GMT 2025","1601","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Sep 10 06:02:20 GMT 2025","Wed Sep 10 06:02:21 GMT 2025","1279","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Sep 10 06:02:21 GMT 2025","Wed Sep 10 06:02:24 GMT 2025","2709","LMS system","Courses","Courses","","","Create course",""
