"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 12:09:48 GMT 2025","Tue Sep 23 12:09:51 GMT 2025","3308","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 12:09:54 GMT 2025","Tue Sep 23 12:09:55 GMT 2025","1469","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 23 12:09:57 GMT 2025","Tue Sep 23 12:10:01 GMT 2025","3327","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Sep 23 12:09:48 GMT 2025","Tue Sep 23 12:09:50 GMT 2025","2139","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:09:52 GMT 2025","Tue Sep 23 12:09:53 GMT 2025","1411","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:09:51 GMT 2025","Tue Sep 23 12:09:53 GMT 2025","2021","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:09:56 GMT 2025","Tue Sep 23 12:09:57 GMT 2025","1372","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 23 12:09:53 GMT 2025","Tue Sep 23 12:09:54 GMT 2025","1325","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 12:09:57 GMT 2025","Tue Sep 23 12:09:59 GMT 2025","2804","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 12:10:00 GMT 2025","Tue Sep 23 12:10:02 GMT 2025","1720","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
