"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 06:58:46 GMT 2025","Wed Sep 10 06:58:47 GMT 2025","1492","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 06:58:49 GMT 2025","Wed Sep 10 06:58:51 GMT 2025","1321","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Sep 10 06:58:42 GMT 2025","Wed Sep 10 06:58:45 GMT 2025","3223","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Sep 10 06:58:47 GMT 2025","Wed Sep 10 06:58:49 GMT 2025","1528","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Sep 10 06:58:51 GMT 2025","Wed Sep 10 06:58:53 GMT 2025","2843","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Sep 10 06:58:45 GMT 2025","Wed Sep 10 06:58:46 GMT 2025","1605","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 06:58:54 GMT 2025","Wed Sep 10 06:58:56 GMT 2025","1648","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Sep 10 06:58:51 GMT 2025","Wed Sep 10 06:58:54 GMT 2025","3305","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Sep 10 06:58:42 GMT 2025","Wed Sep 10 06:58:44 GMT 2025","1935","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 06:58:47 GMT 2025","Wed Sep 10 06:58:48 GMT 2025","1238","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
