"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 06:41:30 GMT 2025","Wed Sep 10 06:41:31 GMT 2025","1416","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Sep 10 06:41:32 GMT 2025","Wed Sep 10 06:41:35 GMT 2025","2928","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Sep 10 06:41:26 GMT 2025","Wed Sep 10 06:41:28 GMT 2025","1691","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 06:41:32 GMT 2025","Wed Sep 10 06:41:35 GMT 2025","3166","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Sep 10 06:41:25 GMT 2025","Wed Sep 10 06:41:27 GMT 2025","1522","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 06:41:23 GMT 2025","Wed Sep 10 06:41:26 GMT 2025","3247","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Sep 10 06:41:28 GMT 2025","Wed Sep 10 06:41:30 GMT 2025","1833","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Sep 10 06:41:35 GMT 2025","Wed Sep 10 06:41:37 GMT 2025","1414","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Sep 10 06:41:27 GMT 2025","Wed Sep 10 06:41:28 GMT 2025","1384","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Sep 10 06:41:23 GMT 2025","Wed Sep 10 06:41:25 GMT 2025","1952","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
