"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 05:32:50 GMT 2025","Wed Sep 10 05:32:53 GMT 2025","3294","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Sep 10 05:32:50 GMT 2025","Wed Sep 10 05:32:52 GMT 2025","2776","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Sep 10 05:32:41 GMT 2025","Wed Sep 10 05:32:45 GMT 2025","3351","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Sep 10 05:32:41 GMT 2025","Wed Sep 10 05:32:43 GMT 2025","2038","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 05:32:46 GMT 2025","Wed Sep 10 05:32:47 GMT 2025","1221","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Sep 10 05:32:47 GMT 2025","Wed Sep 10 05:32:48 GMT 2025","1550","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Sep 10 05:32:44 GMT 2025","Wed Sep 10 05:32:45 GMT 2025","1677","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 05:32:53 GMT 2025","Wed Sep 10 05:32:55 GMT 2025","1646","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Sep 10 05:32:45 GMT 2025","Wed Sep 10 05:32:46 GMT 2025","1397","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 05:32:48 GMT 2025","Wed Sep 10 05:32:50 GMT 2025","1403","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
