"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 12:17:59 GMT 2025","Tue Sep 23 12:18:01 GMT 2025","1844","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:18:05 GMT 2025","Tue Sep 23 12:18:08 GMT 2025","2968","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 12:18:08 GMT 2025","Tue Sep 23 12:18:10 GMT 2025","1534","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 23 12:18:05 GMT 2025","Tue Sep 23 12:18:08 GMT 2025","3280","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Sep 23 12:17:58 GMT 2025","Tue Sep 23 12:18:00 GMT 2025","1630","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:18:01 GMT 2025","Tue Sep 23 12:18:03 GMT 2025","1695","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 23 12:17:56 GMT 2025","Tue Sep 23 12:17:59 GMT 2025","3080","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 12:18:03 GMT 2025","Tue Sep 23 12:18:05 GMT 2025","1456","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 23 12:18:00 GMT 2025","Tue Sep 23 12:18:01 GMT 2025","1369","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 12:17:56 GMT 2025","Tue Sep 23 12:17:58 GMT 2025","1870","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
