"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 12:53:07 GMT 2025","Tue Sep 23 12:53:09 GMT 2025","1597","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 23 12:53:06 GMT 2025","Tue Sep 23 12:53:07 GMT 2025","1335","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 12:53:06 GMT 2025","Tue Sep 23 12:53:07 GMT 2025","1393","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:53:14 GMT 2025","Tue Sep 23 12:53:15 GMT 2025","1539","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 23 12:53:02 GMT 2025","Tue Sep 23 12:53:04 GMT 2025","2083","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:53:04 GMT 2025","Tue Sep 23 12:53:06 GMT 2025","1580","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:53:02 GMT 2025","Tue Sep 23 12:53:05 GMT 2025","3448","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 12:53:11 GMT 2025","Tue Sep 23 12:53:14 GMT 2025","3203","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Sep 23 12:53:10 GMT 2025","Tue Sep 23 12:53:13 GMT 2025","2838","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 12:53:09 GMT 2025","Tue Sep 23 12:53:10 GMT 2025","1405","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
