"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 01 08:07:26 GMT 2025","Wed Oct 01 08:07:28 GMT 2025","1820","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Oct 01 08:07:33 GMT 2025","Wed Oct 01 08:07:34 GMT 2025","1273","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Oct 01 08:07:28 GMT 2025","Wed Oct 01 08:07:30 GMT 2025","1550","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Oct 01 08:07:34 GMT 2025","Wed Oct 01 08:07:36 GMT 2025","2522","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Oct 01 08:07:34 GMT 2025","Wed Oct 01 08:07:38 GMT 2025","3245","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Oct 01 08:07:26 GMT 2025","Wed Oct 01 08:07:29 GMT 2025","3101","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Oct 01 08:07:29 GMT 2025","Wed Oct 01 08:07:31 GMT 2025","1412","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Oct 01 08:07:30 GMT 2025","Wed Oct 01 08:07:31 GMT 2025","1186","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Oct 01 08:07:37 GMT 2025","Wed Oct 01 08:07:39 GMT 2025","1659","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Oct 01 08:07:31 GMT 2025","Wed Oct 01 08:07:32 GMT 2025","1457","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
