"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 12:25:05 GMT 2025","Tue Sep 23 12:25:06 GMT 2025","1586","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 23 12:25:04 GMT 2025","Tue Sep 23 12:25:05 GMT 2025","1334","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 12:25:00 GMT 2025","Tue Sep 23 12:25:02 GMT 2025","1929","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:25:07 GMT 2025","Tue Sep 23 12:25:08 GMT 2025","1300","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 23 12:25:00 GMT 2025","Tue Sep 23 12:25:03 GMT 2025","3212","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 12:25:08 GMT 2025","Tue Sep 23 12:25:11 GMT 2025","2847","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 12:25:11 GMT 2025","Tue Sep 23 12:25:13 GMT 2025","1638","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 23 12:25:08 GMT 2025","Tue Sep 23 12:25:12 GMT 2025","3395","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Sep 23 12:25:03 GMT 2025","Tue Sep 23 12:25:05 GMT 2025","1470","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:25:02 GMT 2025","Tue Sep 23 12:25:04 GMT 2025","1625","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
