"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 12:57:44 GMT 2025","Tue Sep 23 12:57:46 GMT 2025","1750","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:57:56 GMT 2025","Tue Sep 23 12:57:58 GMT 2025","1593","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Sep 23 12:57:47 GMT 2025","Tue Sep 23 12:57:49 GMT 2025","1661","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:57:53 GMT 2025","Tue Sep 23 12:57:56 GMT 2025","2827","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Sep 23 12:57:49 GMT 2025","Tue Sep 23 12:57:50 GMT 2025","1212","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Sep 23 12:57:48 GMT 2025","Tue Sep 23 12:57:50 GMT 2025","1412","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Sep 23 12:57:52 GMT 2025","Tue Sep 23 12:57:53 GMT 2025","1334","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Sep 23 12:57:44 GMT 2025","Tue Sep 23 12:57:48 GMT 2025","3376","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Sep 23 12:57:50 GMT 2025","Tue Sep 23 12:57:51 GMT 2025","1568","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Sep 23 12:57:53 GMT 2025","Tue Sep 23 12:57:57 GMT 2025","3227","LMS system","Courses","Courses","","","Edit course",""
