"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 05:39:13 GMT 2025","Wed Sep 10 05:39:14 GMT 2025","1150","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Sep 10 05:39:16 GMT 2025","Wed Sep 10 05:39:17 GMT 2025","1290","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Sep 10 05:39:18 GMT 2025","Wed Sep 10 05:39:21 GMT 2025","3160","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Sep 10 05:39:13 GMT 2025","Wed Sep 10 05:39:14 GMT 2025","1379","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 05:39:11 GMT 2025","Wed Sep 10 05:39:13 GMT 2025","1616","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 05:39:09 GMT 2025","Wed Sep 10 05:39:11 GMT 2025","2037","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Sep 10 05:39:09 GMT 2025","Wed Sep 10 05:39:12 GMT 2025","3329","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Sep 10 05:39:21 GMT 2025","Wed Sep 10 05:39:22 GMT 2025","1616","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Sep 10 05:39:14 GMT 2025","Wed Sep 10 05:39:16 GMT 2025","1532","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Sep 10 05:39:17 GMT 2025","Wed Sep 10 05:39:20 GMT 2025","2683","LMS system","Courses","Courses","","","Create course",""
